Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Category,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Parallel Universe,Special?,Error Immune,Show Gold,Appears For Parts,Hide Reuseable,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury
Spare 1,A spare one,1,,Magic Dice,SPARE1,,ITEM,YELLOW,change_power,burnsparedice,,none,0,YES,NO,YES,YES,NO,NO,NO,NO,,,,,,,,,,,
Spare 2,A spare two,1,,Magic Dice,SPARE2,,ITEM,YELLOW,change_power,burnsparedice,,none,0,YES,NO,YES,YES,NO,NO,NO,NO,,,,,,,,,,,
Spare 3,A spare three,1,,Magic Dice,SPARE3,,ITEM,YELLOW,change_power,burnsparedice,,none,0,YES,NO,YES,YES,NO,NO,NO,NO,,,,,,,,,,,
Spare 4,A spare four,1,,Magic Dice,SPARE4,,ITEM,YELLOW,change_power,burnsparedice,,none,0,YES,NO,YES,YES,NO,NO,NO,NO,,,,,,,,,,,
Spare 5,A spare five,1,,Magic Dice,SPARE5,,ITEM,YELLOW,change_power,burnsparedice,,none,0,YES,NO,YES,YES,NO,NO,NO,NO,,,,,,,,,,,
Spare 6,A spare six,1,,Magic Six,SPARE6,,ITEM,YELLOW,change_power,burnsparedice,,none,0,YES,NO,YES,YES,NO,NO,NO,NO,,,,,,,,,,,
Rosepetal Staff,Inflict [blind] [poison]poison,2,var p = 0; for(d in actualdice){ if(d.basevalue == 3 # d.basevalue == 5){ p += d.basevalue - 1;} } if(p > 0) inflict(POISON| p);,Poison Arrow,NORMAL|NORMAL,,WEAPON,PURPLE,change_description,complicate,,,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Rosepetal Staff_upgraded,Inflict [blind] [poison]poison,2,var p = 4; var d = actualdice[0]; if(d.basevalue == 3 # d.basevalue == 5){ p += d.basevalue - 1;} if(p > 0) inflict(POISON| p);,Poison Arrow,NORMAL|FREE5,,WEAPON,PURPLE,,,,,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Rosepetal Shield,Add [blind] [shield]shield,2,var s = 0; for(d in actualdice){ if(d.basevalue == 3 # d.basevalue == 5) {s += d.basevalue - 1;} } if(s > 0) inflictself(SHIELD| s);,Protection,NORMAL|NORMAL,,SHIELD,,change_description,complicate,,,0,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Rosepetal Shield_upgraded,Add [blind] [shield]shield,2,var s = 4; var d = actualdice[0]; if(d.basevalue == 3 # d.basevalue == 5){ s += d.basevalue - 1;} if(s > 0) inflictself(SHIELD| s);,Protection,NORMAL|FREE5,,SHIELD,,,,,,0,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Bronze Cauldron,Do [sword]2[;] get an odd dice|[gray](Reuseable),1,attack(2); givedice(rand([1|3|5]));,,EVEN,,MAGIC,ORANGE,change_power,change_power,,,3,NO,NO,YES,NO,NO,NO,NO,NO,1,,,,,,,,,,
Bronze Cauldron_upgraded,Do [sword]2[;] get an odd dice|[gray](Reuseable),1,attack(2); givedice(rand([1|3|5]));,,EVEN,,MAGIC,ORANGE,,,,,5,NO,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Bronze Cauldron_downgraded,Do [sword]1 damage|,1,attack(1);,,EVEN,,MAGIC,ORANGE,,,,,3,NO,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Detonator,Do [sword]1 damage for|every [poison]1 on enemy,1,attack(getstatus(POISON)|POISON);,Emetic,EVEN,,MAGIC,PURPLE,simplify,complicate,,,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
